TRAIN_AC,TRAIN_LOSS,TEST_AC,TEST_LOSS
0.4996,71842.7891,0.5057,8068.1763
0.5565,55415.3086,0.4992,6415.3594
0.5807,54554.7617,0.5028,6445.3662
0.6100,53195.7305,0.5010,6557.0352
0.6345,51676.2148,0.4999,6708.4531
0.6561,50186.8789,0.5014,6869.8970
0.6783,48636.0781,0.5026,7032.5400
0.6991,46939.6055,0.5057,7209.0991
0.7201,45118.7344,0.5056,7411.2939
0.7413,43248.2969,0.5047,7638.9390
0.7601,41397.1172,0.5051,7887.6206
0.7786,39610.8906,0.5059,8154.0825
0.7939,37916.4492,0.5039,8437.2080
0.8088,36323.0781,0.4997,8737.9248
0.8210,34829.7070,0.5013,9057.6660
0.8337,33433.4766,0.5026,9396.6270
0.8449,32133.4492,0.4999,9753.2705
0.8548,30928.5664,0.4989,10125.1475
0.8631,29816.4980,0.5006,10509.5449
0.8716,28792.8359,0.5006,10903.6855
0.8792,27852.1660,0.4983,11304.8594
0.8860,26988.1426,0.4990,11710.6738
0.8927,26194.1152,0.4977,12119.0254
0.8982,25463.6523,0.4989,12528.0439
0.9038,24790.8633,0.4983,12936.0566
0.9088,24170.3398,0.4992,13341.7383
0.9130,23597.2578,0.4982,13744.0791
0.9173,23067.2891,0.4980,14142.2773
0.9208,22576.6406,0.4994,14535.8271
0.9243,22121.7637,0.5009,14924.3838
0.9277,21699.5059,0.5031,15307.7217
0.9309,21306.9902,0.5028,15685.5869
0.9338,20941.6113,0.5034,16057.7920
0.9360,20601.1055,0.5044,16424.1035
0.9385,20283.2852,0.5066,16784.3398
0.9406,19986.2969,0.5078,17138.2773
0.9428,19708.3945,0.5080,17485.6133
0.9452,19448.1621,0.5084,17826.0273
0.9471,19204.2227,0.5077,18159.2012
0.9491,18975.4414,0.5069,18484.9102
0.9510,18760.7168,0.5072,18803.0508
0.9525,18559.0508,0.5076,19113.5254
0.9542,18369.5078,0.5069,19416.4141
0.9557,18191.1641,0.5074,19711.7051
0.9570,18023.2461,0.5081,19999.3652
0.9582,17864.9844,0.5068,20279.3301
0.9594,17715.6230,0.5074,20551.4121
0.9608,17574.5273,0.5076,20815.4727
0.9617,17441.0312,0.5068,21071.9688
0.9629,17314.5898,0.5069,21322.0898
0.9638,17194.6250,0.5056,21567.4707
0.9647,17080.6836,0.5070,21809.0371
0.9656,16972.3926,0.5070,22046.4434
0.9665,16869.4102,0.5077,22278.6348
0.9674,16771.4219,0.5087,22504.4668
0.9681,16678.1680,0.5077,22723.0312
0.9686,16589.4180,0.5087,22933.5371
0.9691,16504.9121,0.5089,23135.2188
0.9698,16424.3555,0.5099,23327.3711
0.9703,16347.5176,0.5106,23509.5586
0.9709,16274.0986,0.5100,23681.4531
0.9713,16203.9238,0.5098,23842.9648
0.9717,16136.6895,0.5103,23994.0762
0.9721,16072.2520,0.5096,24134.9277
0.9726,16010.4385,0.5098,24265.6953
0.9729,15951.1348,0.5103,24386.5469
0.9732,15894.2832,0.5110,24497.6504
0.9734,15839.8145,0.5108,24599.2285
0.9739,15787.6777,0.5110,24691.6699
0.9742,15737.7412,0.5098,24775.3789
0.9744,15689.8750,0.5106,24850.8301
0.9747,15643.9531,0.5120,24918.5996
0.9750,15599.7949,0.5116,24979.3320
0.9753,15557.2734,0.5119,25033.6582
0.9755,15516.2822,0.5119,25082.3047
0.9757,15476.6309,0.5134,25125.9688
0.9759,15438.1719,0.5134,25164.9512
0.9761,15400.7637,0.5129,25198.6367
0.9763,15364.3369,0.5130,25226.6484
0.9763,15328.7734,0.5129,25249.6074
0.9764,15293.9961,0.5129,25269.3203
0.9765,15259.9258,0.5133,25288.1094
0.9766,15226.5469,0.5143,25307.7598
0.9766,15193.8682,0.5147,25328.2207
0.9768,15161.8691,0.5158,25348.3965
0.9769,15130.5371,0.5159,25367.1934
0.9771,15099.9102,0.5159,25384.4375
0.9771,15069.9883,0.5154,25400.8047
0.9772,15040.6074,0.5159,25416.7852
0.9772,15011.3438,0.5152,25433.3867
0.9773,14982.1074,0.5140,25452.4297
0.9774,14953.2148,0.5137,25473.5625
0.9775,14924.6523,0.5133,25493.7422
0.9776,14897.3467,0.5128,25509.5898
0.9776,14871.4600,0.5138,25521.1562
0.9776,14846.6914,0.5132,25529.9219
0.9777,14822.8086,0.5136,25536.8613
0.9777,14799.6875,0.5144,25543.0195
0.9778,14777.2148,0.5139,25549.3516
0.9780,14755.4854,0.5141,25556.7148
0.9780,14734.7871,0.5146,25566.4062
