TRAIN_LOSS,TEST_HR_ALL,TEST_HR_UNSEEN
136538.4219,0.5100,0.5000
109052.2734,0.5022,0.4900
86309.3906,0.5233,0.5200
75831.7266,0.5233,0.5300
77937.7578,0.5178,0.5200
79865.7578,0.5189,0.5300
75159.2266,0.4878,0.5100
66378.0312,0.5022,0.5200
59476.0430,0.4878,0.5200
58573.1875,0.4967,0.5000
60053.4648,0.4844,0.4300
56138.9805,0.4922,0.4300
46976.5547,0.5011,0.4400
37861.9023,0.5089,0.4600
32486.7695,0.5233,0.4200
28756.7598,0.5233,0.4200
22653.3633,0.5200,0.4100
15307.8477,0.5078,0.4900
12136.4385,0.4933,0.4700
13381.2061,0.5133,0.4300
11903.2910,0.5122,0.4300
9092.8652,0.5233,0.4800
10425.2988,0.5222,0.4800
12790.5215,0.5267,0.5200
11352.2012,0.5356,0.5100
9558.7910,0.5478,0.5200
9675.3389,0.5578,0.5100
8287.2783,0.5633,0.5000
5514.6855,0.5667,0.5300
4355.7764,0.5600,0.5100
4636.4272,0.5489,0.5300
4438.6445,0.5511,0.5200
4064.8984,0.5556,0.5400
4570.7939,0.5556,0.5700
5401.7847,0.5567,0.5400
5444.2129,0.5578,0.4900
4872.9565,0.5678,0.4900
4507.8555,0.5578,0.4700
4317.4014,0.5511,0.3800
3751.9602,0.5633,0.4500
3041.3381,0.5689,0.4000
2878.0552,0.5711,0.4500
3043.8982,0.5689,0.4600
2862.5259,0.5667,0.4500
2658.7078,0.5778,0.4700
2786.0532,0.5933,0.5000
2716.3960,0.6089,0.5500
2317.9309,0.6100,0.5300
2113.8269,0.6144,0.5800
2100.7412,0.6100,0.6000
1955.2598,0.6156,0.5600
1845.6953,0.6211,0.6000
1954.7518,0.6200,0.5900
2049.4702,0.6178,0.5900
1981.3643,0.6167,0.5700
1909.0951,0.6056,0.5400
1891.1384,0.6067,0.5200
1795.1068,0.6200,0.5300
1652.9001,0.6256,0.5500
1616.2693,0.6089,0.5000
1632.0210,0.6056,0.5300
1593.9945,0.6078,0.4900
1571.5498,0.6044,0.4400
1582.7090,0.6189,0.5000
1530.4221,0.6344,0.5200
1452.0917,0.6300,0.5000
1423.7844,0.6478,0.5300
1397.3394,0.6511,0.5700
1360.0153,0.6533,0.5600
1361.3722,0.6433,0.5600
1369.4493,0.6444,0.5500
1341.6349,0.6456,0.5300
1313.4089,0.6444,0.5200
1294.7881,0.6611,0.5700
1257.7930,0.6711,0.6000
1224.8986,0.6544,0.5800
1216.7509,0.6478,0.5700
1204.0023,0.6478,0.5700
1184.7435,0.6411,0.5400
1175.3971,0.6411,0.5100
1157.4606,0.6478,0.5200
1129.6001,0.6467,0.5000
1112.6279,0.6478,0.5000
1098.5837,0.6511,0.5100
1081.4901,0.6522,0.5100
1072.8523,0.6533,0.5200
1064.7683,0.6511,0.5400
1048.8105,0.6544,0.5600
1034.6024,0.6522,0.5400
1021.2174,0.6533,0.5200
1004.2802,0.6556,0.5100
991.7476,0.6578,0.5000
982.2340,0.6589,0.4900
969.7401,0.6578,0.5000
958.5923,0.6600,0.5100
947.7535,0.6589,0.5100
934.1169,0.6600,0.5000
922.6114,0.6578,0.5000
912.8940,0.6589,0.5000
902.3656,0.6600,0.5200
893.5163,0.6611,0.5100
884.7131,0.6622,0.5100
874.1313,0.6622,0.5100
864.3718,0.6611,0.5000
854.7595,0.6600,0.5000
844.7380,0.6578,0.5000
836.0646,0.6589,0.5100
827.2975,0.6578,0.5300
817.9107,0.6533,0.5200
809.0483,0.6522,0.5200
799.7599,0.6511,0.5300
790.5115,0.6511,0.5500
782.0984,0.6533,0.5500
773.5214,0.6511,0.5400
765.0889,0.6511,0.5300
756.8698,0.6500,0.5100
748.2145,0.6489,0.5100
739.7886,0.6478,0.5100
731.5925,0.6511,0.5100
723.3492,0.6500,0.5100
715.4857,0.6500,0.5100
707.5913,0.6533,0.5300
699.5947,0.6567,0.5400
691.7897,0.6578,0.5500
683.9225,0.6556,0.5400
676.2258,0.6544,0.5300
668.7316,0.6511,0.5300
661.1860,0.6489,0.5300
653.7534,0.6500,0.5300
646.3059,0.6511,0.5300
638.8454,0.6478,0.5200
631.5416,0.6533,0.5300
624.2495,0.6544,0.5200
617.0346,0.6567,0.5200
609.8718,0.6544,0.5300
602.6700,0.6533,0.5400
595.5458,0.6544,0.5400
588.4472,0.6544,0.5400
581.4037,0.6556,0.5400
574.4410,0.6578,0.5400
567.4836,0.6567,0.5400
560.5831,0.6589,0.5400
553.7192,0.6611,0.5500
546.9001,0.6611,0.5300
540.1700,0.6689,0.5300
533.4850,0.6711,0.5400
526.8701,0.6700,0.5400
520.3156,0.6656,0.5400
513.8170,0.6644,0.5400
507.4091,0.6644,0.5300
501.0742,0.6633,0.5300
494.8305,0.6644,0.5300
488.6711,0.6611,0.5300
482.5892,0.6589,0.5400
476.6060,0.6611,0.5400
470.7112,0.6622,0.5600
464.9209,0.6611,0.5700
459.2300,0.6622,0.5600
453.6367,0.6578,0.5500
448.1479,0.6611,0.5500
442.7574,0.6611,0.5500
437.4768,0.6622,0.5500
432.3016,0.6633,0.5500
427.2320,0.6633,0.5400
422.2685,0.6656,0.5300
417.4053,0.6700,0.5400
412.6472,0.6733,0.5400
407.9895,0.6733,0.5300
403.4323,0.6711,0.5300
398.9736,0.6689,0.5300
394.6074,0.6689,0.5200
390.3358,0.6711,0.5300
386.1531,0.6711,0.5300
382.0586,0.6700,0.5300
378.0492,0.6678,0.5200
374.1206,0.6678,0.5200
370.2714,0.6689,0.5200
366.4974,0.6667,0.5200
362.7979,0.6644,0.5000
359.1686,0.6633,0.5000
355.6074,0.6633,0.5000
352.1122,0.6644,0.4900
348.6785,0.6644,0.4900
345.3069,0.6656,0.4900
341.9931,0.6644,0.4800
338.7363,0.6656,0.4800
335.5337,0.6656,0.4700
332.3841,0.6689,0.4700
329.2851,0.6722,0.4800
326.2349,0.6756,0.4800
323.2328,0.6744,0.4800
320.2770,0.6744,0.4800
317.3661,0.6756,0.4900
314.4979,0.6756,0.4900
311.6726,0.6767,0.4900
308.8880,0.6767,0.4900
306.1432,0.6756,0.4900
303.4377,0.6722,0.4900
300.7699,0.6744,0.4900
